epoch,acc,loss,val_acc,val_loss
0,0.992797315120697,0.000642664497718215,0.9964960217475891,4.979411460226402e-05
1,0.9950147867202759,2.086906533804722e-05,0.9961913228034973,8.472762601741124e-06
2,0.996064305305481,7.030005690467078e-06,0.9962674975395203,6.7975843194290064e-06
3,0.9969614744186401,3.7389843328128336e-06,0.9977909922599792,2.1170110358070815e-06
4,0.9981040954589844,2.9275242923176847e-06,0.9986289143562317,8.054283284764097e-07
5,0.9991028308868408,1.3639293001688202e-06,0.9995429515838623,1.768933231005576e-07
6,0.999119758605957,1.6304148857670953e-06,0.9996191263198853,3.488965205633576e-07
7,0.99919593334198,1.168286871688906e-06,0.9997714757919312,2.818825635131361e-07
8,0.9992382526397705,1.2873033483629115e-06,0.9996191263198853,1.0437279343022965e-06
9,0.9990435838699341,1.2977191090612905e-06,0.999923825263977,3.334994858050777e-07
10,0.9993906021118164,1.0938755394818145e-06,0.9998476505279541,3.797343595124403e-07
11,0.999280571937561,1.2017837889288785e-06,0.9993906021118164,3.7184003076617955e-07
12,0.9992890357971191,1.1856983519464848e-06,0.9992382526397705,2.7900236432287784e-07
13,0.9991705417633057,1.233156240232347e-06,0.999923825263977,1.9571706388887833e-07
14,0.9993398189544678,1.171525809695595e-06,0.9994667768478394,2.4223083983088145e-07
15,0.9992721080780029,1.0529325891184271e-06,0.9997714757919312,5.005772436561529e-07
16,0.9992551803588867,1.0100018243974773e-06,0.999923825263977,3.2341415590053657e-07
17,0.9992467164993286,1.1120382623630576e-06,0.999923825263977,1.777270739466985e-07
18,0.9993144273757935,1.0459752957103774e-06,0.999923825263977,4.746211175188364e-07
19,0.999356746673584,1.0766109426185722e-06,0.9994667768478394,1.9778177318130474e-07
